,Innovation,Status Quo,Unconstrained
Innovation,1.0,0.22394254631160757,0.7578299107619034
Status Quo,0.22394254631160757,1.0,0.010278794146705935
Unconstrained,0.7578299107619034,0.010278794146705935,1.0
