,Innovation,Status Quo,Unconstrained
Innovation,1.0,1.1807220360233636e-20,7.154272094670987e-07
Status Quo,1.1807220360233636e-20,1.0,5.922909603851945e-05
Unconstrained,7.154272094670987e-07,5.922909603851945e-05,1.0
