,Innovation,Status Quo,Unconstrained
Innovation,1.0,9.186318125284875e-21,2.0021874855415025e-10
Status Quo,9.186318125284875e-21,1.0,0.010078161681493468
Unconstrained,2.0021874855415025e-10,0.010078161681493468,1.0
