,Innovation,Status Quo,Unconstrained
Innovation,1.0,1.0931656009503865e-07,0.04508139568587764
Status Quo,1.0931656009503865e-07,1.0,0.006302999472926028
Unconstrained,0.04508139568587764,0.006302999472926028,1.0
