,Innovation,Status Quo,Unconstrained
Innovation,1.0,0.04939576262002768,0.3291011313191965
Status Quo,0.04939576262002768,1.0,0.00019165823162270134
Unconstrained,0.3291011313191965,0.00019165823162270134,1.0
