file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 8 GPT.txt,Air status quo iteration 8 GPT.txt,ChatGPT,Air Pollution,Status Quo,8.0,Primary,False,976,6.69,none,ai_draft,0.6382753948425745,0.5438534431931741,0.6151151061058044,0.8040181611804769,0.20491803278688525,27.62857142857143,710.5191836734695,-20.145768004553393
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 9 GPT.txt,Air status quo iteration 9 GPT.txt,ChatGPT,Air Pollution,Status Quo,9.0,Primary,False,1037,6.93,none,ai_draft,0.6279325825258109,0.5330685853041119,0.6128361821174622,0.796288441145281,0.09643201542912247,32.0625,1065.43359375,19.74255351021531
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 10 GPT.txt,Air unconstrained iteration 10 GPT.txt,ChatGPT,Air Pollution,Unconstrained,10.0,Primary,False,1005,6.82,none,ai_draft,0.665312909528486,0.6942556666203135,0.5924224853515625,0.8002227171492204,0.3980099502487562,17.403508771929825,184.6266543551862,-79.25007511662395
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 2 GPT.txt,Air unconstrained iteration 2 GPT.txt,ChatGPT,Air Pollution,Unconstrained,2.0,Primary,False,1175,8.14,none,ai_draft,0.634939638984443,0.5566717303813414,0.6065577268600464,0.8194795539033457,0.425531914893617,30.68421052631579,700.9002770083101,-21.226823128795015
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 3 GPT.txt,Air unconstrained iteration 3 GPT.txt,ChatGPT,Air Pollution,Unconstrained,3.0,Primary,False,1256,8.41,none,ai_draft,0.643696010097721,0.5919503044976144,0.5980280637741089,0.7852725647899911,0.23885350318471338,16.675675675675677,374.4353542731921,-57.91774756475843
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 4 GPT.txt,Air unconstrained iteration 4 GPT.txt,ChatGPT,Air Pollution,Unconstrained,4.0,Primary,False,1028,7.24,none,ai_draft,0.6528617715431305,0.6233490861592208,0.5971941351890564,0.8197195253505933,0.5836575875486382,29.17142857142857,822.1420408163265,-7.600635184639737
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 5 GPT.txt,Air unconstrained iteration 5 GPT.txt,ChatGPT,Air Pollution,Unconstrained,5.0,Primary,False,957,6.58,none,ai_draft,0.6607038041782974,0.5772634183924431,0.5925151109695435,0.7865876777251185,0.41797283176593525,19.5625,363.4127604166667,-59.15656107920827
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 6 GPT.txt,Air unconstrained iteration 6 GPT.txt,ChatGPT,Air Pollution,Unconstrained,6.0,Primary,False,1039,7.13,none,ai_draft,0.6543923752591152,0.573465736617647,0.5961812138557434,0.7988558855885589,0.384985563041386,17.28813559322034,88.57799482907211,-90.04484620358562
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 7 GPT.txt,Air unconstrained iteration 7 GPT.txt,ChatGPT,Air Pollution,Unconstrained,7.0,Primary,False,1074,7.26,none,ai_draft,0.634302288708138,0.5560006134582081,0.5981000661849976,0.7892518440463646,0.27932960893854747,14.324324324324325,103.9218407596786,-88.32037336625805
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 8 GPT.txt,Air unconstrained iteration 8 GPT.txt,ChatGPT,Air Pollution,Unconstrained,8.0,Primary,False,892,6.13,none,ai_draft,0.66265890009803,0.673786525246828,0.595137894153595,0.7893316519546029,0.2242152466367713,24.583333333333332,701.5208333333333,-21.157079693454623
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 9 GPT.txt,Air unconstrained iteration 9 GPT.txt,ChatGPT,Air Pollution,Unconstrained,9.0,Primary,False,1020,7.02,none,ai_draft,0.6546892399277562,0.6092790698881425,0.5969731211662292,0.8071677559912854,0.19607843137254902,24.071428571428573,185.97108843537416,-79.09897609859765
E:\Research paper\output\chatgpt_policy_drafts\Air unconstratined iteration 1 GPT.txt,Air unconstratined iteration 1 GPT.txt,ChatGPT,Air Pollution,Unconstrained,1.0,Primary,False,1035,7.05,none,ai_draft,0.6716944637727775,0.5822869841042466,0.5901198983192444,0.7734006734006735,0.3864734299516908,13.904109589041095,72.36066804278475,-91.86748830149878
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovatino iteration 5 GPT.txt,DPDP innovatino iteration 5 GPT.txt,ChatGPT,Data Protection,Innovation,5.0,Primary,False,1042,7.27,none,ai_draft,0.6232206481995605,0.3059523857757695,0.6405827403068542,0.8302306079664571,0.5758157389635317,25.195121951219512,839.7668054729328,-63.36920627401592
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 1 GPT.txt,DPDP innovation iteration 1 GPT.txt,ChatGPT,Data Protection,Innovation,1.0,Primary,False,1205,8.65,none,ai_draft,0.6193271182609673,0.2886098627132172,0.6332271695137024,0.7742458100558659,0.6639004149377593,17.470588235294116,98.07266435986159,-95.72205103260711
